score,video_id,published_at,duration_sec,title,channel_title,url,flags
12,ZeGh055Porc,2025-10-15T02:00:39Z,6159,Collective Karma and Reincarnation with Chris Bache,New Thinking Allowed with Jeffrey Mishlove,https://www.youtube.com/watch?v=ZeGh055Porc,chris_name_title;any_name_desc;book_phrase;interview_hint;has_any_name_anywhere;allow_channel
12,ecxKbQic9GQ,2020-01-17T01:32:47Z,4445,Diamond Luminosity: Exploring High Dose LSD Experiences with Dr. Chris Bache,Psychedelics Today,https://www.youtube.com/watch?v=ecxKbQic9GQ,chris_name_title;any_name_desc;book_phrase;interview_hint;has_any_name_anywhere;allow_channel
11,dJ_dMUdl5Gc,2021-01-02T19:45:01Z,3835,DISCOVER the MIND of the UNIVERSE: LSD PSYCHEDELIC RESEARCH with Professor Christopher M. Bache,Passion Harvest Podcast,https://www.youtube.com/watch?v=dJ_dMUdl5Gc,full_name_title;any_name_desc;book_phrase;interview_hint;has_any_name_anywhere
11,sL17AtT7Kxk,2020-12-03T11:09:12Z,7153,What 73 High-Dose LSD Sessions Teach You About the Mind of the Universe w/ Christopher M. Bache Ep11,Christian Yordanov | Longevity Author,https://www.youtube.com/watch?v=sL17AtT7Kxk,full_name_title;any_name_desc;book_phrase;interview_hint;has_any_name_anywhere
10,IBCN4z5P-8s,2025-10-21T15:11:55Z,5500,PSA Fireside Chat Featuring Dr. Raymond Turpin & Dr. Chris Bache,Psychedelic Society of Asheville (PSA),https://www.youtube.com/watch?v=IBCN4z5P-8s,chris_name_title;any_name_desc;book_phrase;interview_hint;has_any_name_anywhere
10,Cx-fSxKeRto,2024-03-18T15:30:07Z,4091,Chris Bache and his visions for the past and future of humanity,The Wisdom Factory,https://www.youtube.com/watch?v=Cx-fSxKeRto,chris_name_title;any_name_desc;book_phrase;interview_hint;has_any_name_anywhere
10,SFyygMqBcUw,2024-02-09T07:40:15Z,3489,Rethinking Human Existence & Purpose – God’s Plan for Humanity with Chris Bache and Sandie Sedgbeer,Sandie Sedgbeer,https://www.youtube.com/watch?v=SFyygMqBcUw,chris_name_title;any_name_desc;book_phrase;interview_hint;has_any_name_anywhere
10,xTiFaWZCw1Q,2024-02-08T20:44:27Z,3496,Face to Face with Chris Bache,OMTimes Media,https://www.youtube.com/watch?v=xTiFaWZCw1Q,chris_name_title;any_name_desc;book_phrase;interview_hint;has_any_name_anywhere
10,GNGCq1d4JrI,2024-02-08T19:52:32Z,3674,Face to Face with Chris Bache,OMTimesTV,https://www.youtube.com/watch?v=GNGCq1d4JrI,chris_name_title;any_name_desc;book_phrase;interview_hint;has_any_name_anywhere
10,si5z27iixD0,2023-11-01T03:25:13Z,4734,Collective Reincarnation & The Diamond Soul of the Universe-Chris Bache-2023 Reincarnation Symposium,Carole Louie,https://www.youtube.com/watch?v=si5z27iixD0,chris_name_title;any_name_desc;book_phrase;interview_hint;has_any_name_anywhere
10,x9BRgE427I8,2023-03-15T09:40:08Z,4479,"The Role of Psychedelics for a Planet in Transition with Belinda Eriacho, Chris Bache",Spirit Plant Medicine,https://www.youtube.com/watch?v=x9BRgE427I8,chris_name_title;any_name_desc;book_phrase;interview_hint;has_any_name_anywhere
