talk_id,youtube_id,status,auto_path,human_path
2026-01-29-consciousness-beyond-death-findings-from-20-years-of-lsd-research-christopher,ovU2Esv62CU,exists:auto_human,sources/captions/2026-01-29-consciousness-beyond-death-findings-from-20-years-of-lsd-research-christopher.vtt,sources/captions/2026-01-29-consciousness-beyond-death-findings-from-20-years-of-lsd-research-christopher-human.vtt
2026-03-05-interview-with-chris-bache-ph-d-our-spiritual-awakening-and-transformation,PXvcNCrdTEw,exists:auto,sources/captions/2026-03-05-interview-with-chris-bache-ph-d-our-spiritual-awakening-and-transformation.vtt,
2025-09-23-reincarnation-deep-time-and-the-diamond-soul-with-christopher-bache-insights,Nu8Dk-UdhYM,exists:auto,sources/captions/2025-09-23-reincarnation-deep-time-and-the-diamond-soul-with-christopher-bache-insights.vtt,
2026-06-23-dr-chris-bache-the-impossible-question-speira,xcI-NOVnRoY,exists:auto,sources/captions/2026-06-23-dr-chris-bache-the-impossible-question-speira.vtt,
2025-11-17-an-open-ended-conversation-with-chris-bache,nFZfqoBbK_U,exists:auto_human,sources/captions/2025-11-17-an-open-ended-conversation-with-chris-bache.vtt,sources/captions/2025-11-17-an-open-ended-conversation-with-chris-bache-human.vtt
2026-06-30-dr-chris-bache-author-of-lsd-and-the-mind-of-the,VuQWEffN8x0,exists:auto,sources/captions/2026-06-30-dr-chris-bache-author-of-lsd-and-the-mind-of-the.vtt,
2025-11-22-lsd-and-the-edge-of-human-experience-dr-chris-bache-on,7R_k6aF-9gk,exists:auto,sources/captions/2025-11-22-lsd-and-the-edge-of-human-experience-dr-chris-bache-on.vtt,
2026-01-08-psychedelics-reincarnation-death-the-future-of-humanity-with-christopher-bache,63uGUsyipuk,exists:auto,sources/captions/2026-01-08-psychedelics-reincarnation-death-the-future-of-humanity-with-christopher-bache.vtt,
2026-02-12-rethinking-human-existence-gods-plan-and-purpose-for-humanity-with-christopher,pgULV1_MoNM,exists:auto,sources/captions/2026-02-12-rethinking-human-existence-gods-plan-and-purpose-for-humanity-with-christopher.vtt,
2026-05-20-the-new-shaman-how-lsd-gave-christopher-bache-the-keys-to,0MaF7cXVL20,exists:auto,sources/captions/2026-05-20-the-new-shaman-how-lsd-gave-christopher-bache-the-keys-to.vtt,
2026-02-03-36-what-20-years-of-lsd-revealed-about-suffering-healing-the,424meKDrZ2M,exists:auto,sources/captions/2026-02-03-36-what-20-years-of-lsd-revealed-about-suffering-healing-the.vtt,
2026-02-02-in-the-living-classroom-with-chris-bache,2w-8klAX--M,exists:auto,sources/captions/2026-02-02-in-the-living-classroom-with-chris-bache.vtt,
2026-03-15-what-altered-states-reveal-about-the-nature-of-reality,zlRKDRV3H-I,exists:auto,sources/captions/2026-03-15-what-altered-states-reveal-about-the-nature-of-reality.vtt,
2026-03-06-iars-reincarnation-book-club-with-chris-bache-phd,njiw2enxy40,exists:auto,sources/captions/2026-03-06-iars-reincarnation-book-club-with-chris-bache-phd.vtt,
2026-05-31-73-lsd-sessions-journey-through-the-mind-of-the-universe,KgqQiLkg1mM,exists:auto,sources/captions/2026-05-31-73-lsd-sessions-journey-through-the-mind-of-the-universe.vtt,
