talk_id,youtube_id,status,auto_path,human_path
2014-11-10-chris-bache-waking-up-in-the-classroom-lessons-from-30-years-of-teaching,OJipHXvczW0,downloaded:auto,sources/captions/2014-11-10-chris-bache-waking-up-in-the-classroom-lessons-from-30-years-of-teaching.vtt,
2015-03-16-exploring-the-boundaries-of-death-and-rebirth-in-lsd-psychotherapy,cEsoN2IaGc4,downloaded:auto,sources/captions/2015-03-16-exploring-the-boundaries-of-death-and-rebirth-in-lsd-psychotherapy.vtt,
2018-07-05-diamonds-from-heaven-interview-with-iain-mcnay,yewNM9smrqo,downloaded:auto,sources/captions/2018-07-05-diamonds-from-heaven-interview-with-iain-mcnay.vtt,
2018-08-30-scientific-evidence-for-reincarnation-timewaver-summer-world-2018,JlCMfEOmsrY,downloaded:auto,sources/captions/2018-08-30-scientific-evidence-for-reincarnation-timewaver-summer-world-2018.vtt,
2018-08-30-diamonds-from-heaven-lecture-at-timewaver-summer-world-2018,O4ui6I1Wo9c,downloaded:auto,sources/captions/2018-08-30-diamonds-from-heaven-lecture-at-timewaver-summer-world-2018.vtt,
2018-10-12-mapping-consciousness-with-high-dose-lsd-attmind-83,L3D_fSr75u8,downloaded:auto,sources/captions/2018-10-12-mapping-consciousness-with-high-dose-lsd-attmind-83.vtt,
2019-05-15-michael-pollan-and-chris-bache-buddha-at-the-gas-pump-interview,SIjZypJKSFM,downloaded:auto+human,sources/captions/2019-05-15-michael-pollan-and-chris-bache-buddha-at-the-gas-pump-interview.vtt,sources/captions/2019-05-15-michael-pollan-and-chris-bache-buddha-at-the-gas-pump-interview-human.vtt
2019-08-30-scientific-evidence-for-reincarnation,x_iGTmrzIpY,downloaded:auto,sources/captions/2019-08-30-scientific-evidence-for-reincarnation.vtt,
2019-09-26-mapping-of-transcendence,70TRNG1-ZEg,downloaded:auto,sources/captions/2019-09-26-mapping-of-transcendence.vtt,
2019-11-13-lsd-and-the-mind-of-the-universe-diamonds-from-heaven,uHn8lzYNXyE,downloaded:auto+human,sources/captions/2019-11-13-lsd-and-the-mind-of-the-universe-diamonds-from-heaven.vtt,sources/captions/2019-11-13-lsd-and-the-mind-of-the-universe-diamonds-from-heaven-human.vtt
